sushrg,elective,emergency
LB14Z,5,239
LB15D,5,461
LB15E,5,239
LB16D,34,239
LB16E,12,239
LB16F,7,239
LB16G,21,239
LB16H,10,239
LB16J,5,239
LB16K,5,239
LB17Z,5,239
LB18Z,5,239
LB19C,31,239
LB19D,7,239
LB19E,22,239
LB19F,8,239
LB19G,5,239
LB20C,23,239
LB20D,10,239
LB20E,21,239
LB20F,5,239
LB20G,5,239
LB21A,39,239
LB21B,16,239
LB22Z,5,239
LB25D,79,239
LB25E,25,239
LB25F,15,239
LB26A,29,239
LB26B,6,239
LB28C,16,239
LB28D,7,239
LB28E,15,239
LB28F,6,239
LB28G,5,239
LB29A,5,239
LB29C,9,461
LB29D,30,461
LB33Z,5,239
LB35C,26,239
LB35D,7,239
LB35E,20,239
LB35F,10,239
LB35G,5,239
LB35H,5,239
LB36Z,5,239
LB37C,14,239
LB37D,8,239
LB37E,5,239
LB38C,29,239
LB38D,12,239
LB38E,7,239
LB38F,19,239
LB38G,8,239
LB38H,5,239
LB39C,83,239
LB39D,31,239
LB40C,18,239
LB40D,5,239
LB40E,14,239
LB40F,5,239
LB40G,5,239
LB42A,5,239
LB42D,5,461
LB43Z,5,239
LB47Z,6,239
LB48Z,14,239
LB49Z,33,239
LB50Z,53,239
LB51A,215,239
LB51B,5,239
LB52A,43,239
LB52B,5,239
LB53B,5,461
LB53C,17,239
LB53D,5,239
LB54A,5,239
LB54C,5,461
LB54D,5,461
LB55A,5,239
LB55B,5,461
LB56A,5,239
LB56C,5,461
LB56D,5,461
LB57C,12,239
LB57D,5,239
LB58C,20,239
LB58D,5,239
LB59Z,7,239
LB60C,63,239
LB60D,35,239
LB60E,26,239
LB60F,18,239
LB61C,64,239
LB61D,42,239
LB61E,29,239
LB61F,19,239
LB61G,17,239
LB62C,50,239
LB62D,16,239
LB63C,28,461
LB63D,15,461
LB64C,56,239
LB64D,15,239
LB64E,5,239
LB65C,35,239
LB65D,10,239
LB65E,5,239
LB66Z,7,461
LB67C,80,239
LB67D,42,239
LB68A,45,239
LB68B,16,239
LB69Z,13,239
LB70C,47,239
LB70D,13,239
LB71Z,169,239
LB72A,5,239
LB72B,5,461
LB73Z,5,239
LB74Z,14,239
LB75A,60,239
LB75B,19,239
LB76Z,5,239
LB77Z,5,239
LB78Z,5,239
LB79Z,5,239
LB80Z,5,239
MA01Z,16,336
MA02A,43,336
MA02B,16,336
MA02C,13,336
MA03C,22,336
MA03D,6,336
MA04C,21,336
MA04D,5,336
MA06A,50,336
MA06B,22,336
MA06C,10,336
MA07E,45,336
MA07F,16,336
MA07G,9,336
MA08A,6,336
MA08B,5,336
MA09Z,6,336
MA10Z,5,336
MA11Z,10,336
MA12Z,5,336
MA17C,5,336
MA17D,5,336
MA18C,5,336
MA18D,5,336
MA19A,5,336
MA19B,5,336
MA20Z,5,336
MA22Z,5,336
MA23Z,5,336
MA24Z,5,336
MA25Z,5,336
MA26A,67,336
MA26B,22,336
MA26C,18,336
MA27Z,5,336
MA28Z,15,336
MA29Z,12,336
MA30Z,5,336
MA31Z,5,336
MA32Z,5,336
MA33Z,5,336
MA34Z,5,336
MA35Z,5,336
MA36Z,5,336
MA37Z,5,336
MA38Z,5,336
MA39Z,5,336
MA40Z,5,336
MB05C,54,336
MB05D,34,336
MB05E,22,336
MB05F,15,336
MB05G,43,336
MB05H,29,336
MB05J,22,336
MB05K,11,336
MB05L,8,336
MB08A,5,336
MB08B,5,336
MB09A,38,336
MB09B,13,336
MB09C,7,336
MB09D,19,336
MB09E,8,336
MB09F,5,336
PB03Z,5,0
PB04A,82,461
PB04B,29,461
PB04C,10,461
PB04D,6,461
PB05A,96,461
PB05B,30,461
PB05C,5,461
PB06A,76,461
PB06B,24,461
PB06C,13,461
PB06D,10,461
PB06E,7,461
PB06F,5,461
PB06G,43,461
PB06H,16,461
PB06J,9,461
PB06K,8,461
PB06L,5,461
PB06M,5,461
PC63A,10,424
PC63B,5,424
PC63C,5,424
PC63D,5,424
PD11A,5,424
PD11B,5,424
PD11C,5,424
PD12A,6,424
PD12B,5,424
PD12C,5,424
PD14A,42,424
PD14B,22,424
PD14C,14,424
PD14D,8,424
PD14E,5,424
PD14F,5,424
PD15A,20,424
PD15B,9,424
PD15C,8,424
PD15D,5,424
PD65A,8,424
PD65B,5,424
PD65C,5,424
PD65D,5,424
PE23A,68,424
PE23B,35,424
PE23C,20,424
PE23D,14,424
PE23E,8,424
PE23F,5,424
PE24A,5,424
PE24B,5,424
PE24C,5,424
PE62A,5,424
PE62B,5,424
PE62C,5,424
PF21A,5,424
PF21B,5,424
PF25A,35,424
PF25B,14,424
PF25C,10,424
PF25D,8,424
PF25E,5,424
PF26A,10,424
PF26B,5,424
PF26C,5,424
PF27A,15,424
PF27B,13,424
PF28A,14,424
PF28B,8,424
PF28C,5,424
PF28D,5,424
PF28E,5,424
PG71A,16,424
PG71B,9,424
PG71C,8,424
PH34A,13,424
PH34B,5,424
PH34C,5,424
PH34D,5,424
PJ35A,10,424
PJ35B,5,424
PJ35C,5,424
PJ35D,5,424
PJ66A,5,424
PJ66B,5,424
PJ66C,5,424
PK36A,19,424
PK36B,5,424
PK36C,5,424
PK67A,6,424
PK67B,6,424
PK68A,6,424
PK68B,5,424
PK68C,5,424
PK72A,32,424
PK72B,9,424
PK72C,8,424
PL38A,15,424
PL38B,9,424
PL38C,5,424
PL69A,9,424
PL69B,6,424
PL69C,8,424
PL70A,10,424
PL70B,5,424
PL70C,5,424
PL70D,5,424
PM40A,30,424
PM40B,14,424
PM40C,11,424
PM41Z,26,424
PM42A,11,424
PM42B,6,424
PM43A,31,424
PM43B,12,424
PM43C,11,424
PM44Z,5,424
PM45A,49,424
PM45B,13,424
PM45C,10,424
PM45D,7,424
PN46A,5,424
PN46B,5,424
PN47A,14,424
PN47B,6,424
PN48A,14,424
PN48B,8,424
PN48C,5,424
PN49A,5,424
PN49B,5,424
PP64A,8,424
PP64B,5,424
PQ01A,23,424
PQ01B,5,424
PR01A,65,424
PR01B,15,424
PR01C,8,424
PR01D,5,424
PR01E,5,424
PR02A,11,424
PR02B,5,424
PR02C,5,424
PR03A,5,424
PR03B,5,424
PR03C,5,424
PR04A,5,424
PR04B,5,424
PR04C,5,424
PR06A,11,424
PR06B,6,424
PR06C,5,424
PR07A,5,424
PR07B,5,424
PV08A,5,424
PV08B,5,424
PV31A,24,424
PV31B,16,424
PV32A,5,424
PV32B,5,424
PV32C,5,424
PW01A,5,424
PW01B,5,424
PW01C,5,424
PW16A,33,424
PW16B,19,424
PW16C,11,424
PW16D,9,424
PW16E,8,424
PW17D,5,424
PW17E,11,424
PW17F,8,424
PW17G,5,424
PW20A,8,424
PW20B,5,424
PW20C,5,424
PX01A,50,424
PX01B,16,424
PX01C,8,424
PX01D,5,424
PX02A,25,424
PX02B,6,424
PX02C,5,424
PX03A,26,424
PX03B,5,424
PX04A,8,424
PX04B,8,424
PX05A,6,424
PX05B,5,424
PX05C,5,424
PX06A,6,424
PX06B,5,424
PX07A,10,424
PX07B,6,424
PX07C,5,424
PX08A,24,424
PX08B,5,424
PX08C,5,424
PX09A,39,424
PX09B,11,424
PX09C,5,424
PX10A,19,424
PX10B,5,424
PX22A,5,424
PX22B,5,424
PX29A,5,424
PX29B,5,424
PX29C,5,424
PX30A,14,424
PX30B,5,424
PX30C,5,424
PX50A,5,424
PX50B,5,424
PX50C,5,424
PX51Z,5,424
PX54Z,5,424
PX55Z,17,424
PX56A,5,424
PX56B,5,424
PX57A,9,424
PX57B,6,424
PX57C,5,424
RD97Z,5,-
RN97Z,5,-
SA01G,39,305
SA01H,15,305
SA01J,9,305
SA01K,8,305
SA02G,31,305
SA02H,6,305
SA02J,5,305
SA03G,21,305
SA03H,11,305
SA04G,49,305
SA04H,22,305
SA04J,11,305
SA04K,5,305
SA04L,5,305
SA05G,26,305
SA05H,11,305
SA05J,5,305
SA06G,43,305
SA06H,16,305
SA06J,10,305
SA06K,5,305
SA07G,41,305
SA07H,13,305
SA07J,5,305
SA08G,25,305
SA08H,13,305
SA08J,5,305
SA09G,42,305
SA09H,17,305
SA09J,9,305
SA09K,5,305
SA09L,5,305
SA11Z,5,305
SA12G,30,305
SA12H,14,305
SA12J,10,305
SA12K,5,305
SA14Z,57,305
SA15Z,68,305
SA16Z,73,305
SA17G,35,305
SA17H,8,305
SA18Z,25,305
SA24G,73,305
SA24H,34,305
SA24J,15,305
SA25G,75,305
SA25H,67,305
SA25J,54,305
SA25K,47,305
SA25L,26,305
SA25M,15,305
SA30A,63,305
SA30B,34,305
SA30C,25,305
SA30D,18,305
SA30E,8,305
SA31A,77,305
SA31B,47,305
SA31C,34,305
SA31D,22,305
SA31E,19,305
SA31F,15,305
SA32A,46,305
SA32B,21,305
SA32C,21,305
SA32D,10,305
SA33Z,5,305
SA35A,51,305
SA35B,18,305
SA35C,15,305
SA35D,11,305
SA35E,9,305
SA36A,24,305
SA36B,15,305
SA36C,8,305
SA37Z,5,305
SA41Z,5,305
SA42Z,5,305
SA43Z,40,305
SA44A,5,305
SA44B,5,305
SA45A,5,305
SA45B,5,305
SB97Z,5,0
SC97Z,5,0
UZ01Z,5,0
VA10A,5,250
VA10B,11,250
VA10C,24,250
VA10D,54,250
VA11A,10,250
VA11B,19,250
VA11C,32,250
VA11D,60,250
VA12A,16,250
VA12B,28,250
VA12C,36,250
VA12D,64,250
VA13A,16,250
VA13B,22,250
VA13C,32,250
VA13D,67,250
VA14A,17,250
VA14B,26,250
VA14C,34,250
VA14D,73,250
VA15A,34,250
VA15B,37,250
VA15C,40,250
VA15D,94,250
WH02Z,5,239
WH03A,20,239
WH03B,5,239
WH04A,39,239
WH04B,27,239
WH04C,15,239
WH04D,8,239
WH04E,5,239
WH05Z,5,239
WH06Z,5,239
WH07A,50,239
WH07B,23,239
WH07C,29,239
WH07D,12,239
WH07E,34,239
WH07F,16,239
WH07G,5,239
WH08A,15,239
WH08B,5,239
WH09A,69,239
WH09B,63,239
WH09C,38,239
WH09D,69,239
WH09E,49,239
WH09F,31,239
WH09G,13,239
WH10A,15,239
WH10B,5,239
WH11A,29,239
WH11B,5,239
WH12A,10,239
WH12B,5,239
WH13A,21,239
WH13B,5,239
WH13C,5,239
WH14A,50,239
WH14B,25,239
WH14C,29,239
WH14D,11,239
WH15Z,5,239
WH16A,5,239
WH16B,5,239
WH17A,47,239
WH17B,10,239
WH17C,5,239
WH18A,12,239
WH18B,5,239
WH19Z,5,239
WH20A,30,239
WH20B,9,239
WH20C,5,239
WH51Z,5,239
WH52A,51,239
WH52B,5,239
WH53A,20,239
WH53B,5,239
WH54A,58,239
WH54B,23,239
WJ01A,98,239
WJ01B,46,239
WJ01C,53,239
WJ01D,23,239
WJ01E,11,239
WJ02A,85,239
WJ02B,44,239
WJ02C,27,239
WJ02D,15,239
WJ02E,6,239
WJ03A,62,239
WJ03B,42,239
WJ03C,12,239
WJ03D,28,239
WJ03E,16,239
WJ03F,10,239
WJ03G,5,239
WJ04Z,8,239
WJ06A,82,239
WJ06B,59,239
WJ06C,42,239
WJ06D,52,239
WJ06E,39,239
WJ06F,28,239
WJ06G,38,239
WJ06H,23,239
WJ06J,15,239
WJ07A,42,239
WJ07B,23,239
WJ07C,9,239
WJ07D,5,239
WJ10A,65,239
WJ10B,47,239
WJ10C,26,239
WJ10D,22,239
WJ10E,14,239
WJ10F,11,239
WJ11Z,5,239
YA01Z,46,266
YA02A,67,266
YA02B,24,266
YA03A,68,266
YA03B,37,266
YA03C,25,266
YA04Z,44,266
YA10Z,38,266
YA11Z,5,266
YA12Z,26,266
YA13Z,28,266
YD01Z,9,266
YD02Z,5,266
YD03Z,5,266
YD04Z,5,266
YD05Z,5,266
YF01A,5,266
YF01B,5,266
YF02Z,5,266
YF03A,105,266
YF03B,56,266
YF04A,66,266
YF04B,29,266
YF04C,18,266
YG01A,31,266
YG01B,6,266
YG02Z,63,266
YG03A,60,266
YG03B,44,266
YG04A,48,266
YG04B,26,266
YG05A,48,266
YG05B,28,266
YG06Z,14,266
YG07A,64,266
YG07B,30,266
YG10Z,5,266
YG11A,5,266
YG11B,5,266
YG12Z,5,266
YH01Z,59,266
YH02Z,52,266
YH03Z,49,266
YH10Z,5,266
YH20Z,30,266
YH30Z,5,266
YH31Z,5,266
YH32Z,5,266
YJ01Z,5,266
YJ02Z,5,266
YJ03Z,5,266
YJ04Z,5,266
YJ05Z,5,266
YJ06Z,5,266
YJ07Z,5,266
YJ08Z,5,266
YJ09Z,5,266
YJ10Z,5,266
YJ11Z,5,266
YJ12Z,5,266
YL01Z,5,266
YL02Z,14,266
YL10Z,5,266
YL11Z,5,266
YL12Z,5,266
YL20A,5,266
YL20B,5,266
YL21Z,5,266
YQ01A,57,266
YQ01B,28,266
YQ02Z,47,266
YQ03A,51,266
YQ03B,25,266
YQ04A,53,266
YQ04B,37,266
YQ05A,47,266
YQ05B,20,266
YQ10A,77,266
YQ10B,39,266
YQ10C,32,266
YQ10D,23,266
YQ11A,61,266
YQ11B,34,266
YQ11C,29,266
YQ12A,78,266
YQ12B,42,266
YQ12C,30,266
YQ12D,21,266
YQ13A,65,266
YQ13B,32,266
YQ14Z,5,266
YQ15Z,5,266
YQ16Z,5,266
YQ20A,138,266
YQ20B,74,266
YQ21A,116,266
YQ21B,57,266
YQ22A,96,266
YQ22B,48,266
YQ23A,85,266
YQ23B,47,266
YQ24A,100,266
YQ24B,52,266
YQ25A,70,266
YQ25B,42,266
YQ26A,51,266
YQ26B,28,266
YQ26C,21,266
YQ30Z,21,266
YQ31A,35,266
YQ31B,13,266
YQ32A,37,266
YQ32B,6,266
YQ40Z,36,266
YQ41A,30,266
YQ41B,10,266
YQ42Z,5,266
YQ50A,75,266
YQ50B,44,266
YQ50C,27,266
YQ50D,16,266
YQ50E,8,266
YQ50F,5,266
YQ51A,51,266
YQ51B,25,266
YQ51C,15,266
YQ51D,5,266
YQ51E,5,266
YR01Z,48,266
YR02Z,45,266
YR03Z,29,266
YR04Z,34,266
YR10A,55,266
YR10B,25,266
YR10C,17,266
YR11A,66,266
YR11B,31,266
YR11C,26,266
YR11D,14,266
YR12Z,35,266
YR13Z,40,266
YR14A,47,266
YR14B,14,266
YR15A,50,266
YR15B,22,266
YR15C,13,266
YR16A,59,266
YR16B,22,266
YR22A,82,266
YR22B,29,266
YR22C,18,266
YR23A,43,266
YR23B,13,266
YR24C,61,266
YR24D,19,266
YR25Z,5,266
YR26Z,5,266
YR30Z,5,266
YR31Z,5,266
YR32Z,5,266
YR33Z,5,266
YR40A,11,266
YR40B,5,266
YR41A,5,266
YR41B,5,266
YR42A,5,266
YR42B,5,266
YR43A,5,266
YR43B,5,266
YR44A,5,266
YR44B,5,266
YR45Z,5,266
YR46Z,5,266
YR47Z,5,266
YR48Z,5,266
YR50Z,55,266
YR51Z,51,266
YR52A,45,266
YR52B,21,266
YR53Z,46,266
YR54A,60,266
YR54B,21,266
YR54C,15,266
YR55Z,6,266
YR56Z,5,266
YR57Z,23,266
