sushrg,elective,emergency
CB02E,5,270
CB02F,5,270
CD01A,5,270
CD01B,5,397
CD02A,5,270
CD02B,5,397
CD03A,5,270
CD03B,5,397
CD04A,5,270
CD04B,5,397
CD05A,5,270
CD05B,5,397
CD06A,5,270
CD06B,5,397
CD07A,5,270
CD07B,5,397
CD08Z,5,270
CD09A,5,270
CD09B,5,397
CD10A,5,270
CD10B,5,397
CD11A,5,270
CD11B,5,397
CD12A,5,270
CD12B,5,397
DZ02H,44,230
DZ02J,24,230
DZ02K,17,230
DZ02L,20,355
DZ02M,57,355
DZ09J,53,230
DZ09K,30,230
DZ09L,40,230
DZ09M,23,230
DZ09N,17,230
DZ09P,11,230
DZ09Q,8,230
DZ10H,62,230
DZ10J,36,230
DZ10K,26,230
DZ10L,38,230
DZ10M,28,230
DZ10N,17,230
DZ11K,86,230
DZ11L,55,230
DZ11M,37,230
DZ11N,60,230
DZ11P,36,230
DZ11Q,25,230
DZ11R,55,230
DZ11S,32,230
DZ11T,21,230
DZ11U,15,230
DZ11V,11,230
DZ12C,33,230
DZ12D,23,230
DZ12E,21,230
DZ12F,13,230
DZ14F,36,230
DZ14G,38,230
DZ14H,23,230
DZ14J,21,230
DZ15M,28,230
DZ15N,21,230
DZ15P,16,230
DZ15Q,11,230
DZ15R,8,230
DZ16H,60,230
DZ16J,32,230
DZ16K,20,230
DZ16L,42,230
DZ16M,23,230
DZ16N,16,230
DZ16P,36,230
DZ16Q,16,230
DZ16R,8,230
DZ17L,56,230
DZ17M,41,230
DZ17N,28,230
DZ17P,44,230
DZ17Q,34,230
DZ17R,22,230
DZ17S,42,230
DZ17T,31,230
DZ17U,20,230
DZ17V,13,230
DZ18D,29,230
DZ18E,15,230
DZ18F,14,230
DZ18G,5,230
DZ19H,46,230
DZ19J,28,230
DZ19K,16,230
DZ19L,14,230
DZ19M,5,230
DZ19N,5,230
DZ20D,28,230
DZ20E,21,230
DZ20F,10,230
DZ22K,48,230
DZ22L,24,230
DZ22M,43,230
DZ22N,25,230
DZ22P,14,230
DZ22Q,5,230
DZ23H,59,230
DZ23J,46,230
DZ23K,27,230
DZ23L,38,230
DZ23M,22,230
DZ23N,14,230
DZ24J,107,230
DZ24K,58,230
DZ24L,70,230
DZ24M,40,230
DZ24N,62,230
DZ24P,40,230
DZ24Q,28,230
DZ24R,17,230
DZ25G,51,230
DZ25H,26,230
DZ25J,37,230
DZ25K,25,230
DZ25L,19,230
DZ25M,13,230
DZ26G,50,230
DZ26H,18,230
DZ26J,28,230
DZ26K,16,230
DZ26L,12,230
DZ26M,22,230
DZ26N,11,230
DZ26P,5,230
DZ27M,76,230
DZ27N,36,230
DZ27P,45,230
DZ27Q,27,230
DZ27R,21,230
DZ27S,34,230
DZ27T,20,230
DZ27U,11,230
DZ28A,5,230
DZ28B,5,230
DZ29G,40,230
DZ29H,21,230
DZ29J,14,230
DZ29K,10,230
DZ30Z,5,230
DZ31Z,5,230
DZ32Z,5,230
DZ37A,14,230
DZ37B,5,355
DZ42Z,5,230
DZ50Z,5,230
DZ51Z,149,230
DZ52Z,5,230
DZ56Z,5,230
DZ62A,78,230
DZ62B,36,230
DZ62C,23,230
DZ63A,60,230
DZ63B,28,230
DZ63C,22,230
DZ63D,36,355
DZ63E,50,355
DZ64A,43,230
DZ64B,24,230
DZ64C,17,230
DZ64D,21,355
DZ64E,26,355
DZ65A,54,230
DZ65B,28,230
DZ65C,39,230
DZ65D,24,230
DZ65E,17,230
DZ65F,40,230
DZ65G,23,230
DZ65H,16,230
DZ65J,12,230
DZ65K,5,230
DZ66Z,22,230
DZ67Z,5,230
DZ68Z,5,230
DZ69A,15,230
DZ69B,5,355
DZ70Z,5,230
DZ71Z,5,230
EB02A,91,264
EB02B,66,264
EB02C,43,264
EB03A,53,264
EB03B,32,264
EB03C,26,264
EB03D,19,264
EB03E,13,264
EB04Z,5,264
EB05A,29,264
EB05B,8,264
EB05C,5,264
EB06A,53,264
EB06B,32,264
EB06C,22,264
EB06D,13,264
EB07A,38,264
EB07B,19,264
EB07C,11,264
EB07D,8,264
EB07E,5,264
EB08A,35,264
EB08B,19,264
EB08C,9,264
EB08D,5,264
EB08E,5,264
EB09A,19,390
EB09B,7,390
EB10A,40,264
EB10B,22,264
EB10C,15,264
EB10D,11,264
EB10E,9,264
EB12A,8,264
EB12B,5,264
EB12C,5,264
EB13A,11,264
EB13B,5,264
EB13C,5,264
EB13D,5,264
EB14A,44,264
EB14B,22,264
EB14C,14,264
EB14D,10,264
EB14E,5,264
EB15A,42,264
EB15B,16,264
EB15C,10,264
EC10A,117,390
EC10B,61,390
EC10C,38,390
EC11A,105,390
EC11B,62,390
EC11C,41,390
EC12A,72,390
EC12B,41,390
EC12C,27,390
EC13A,64,390
EC13B,27,390
EC13C,19,390
EC14A,78,390
EC14B,45,390
EC14C,19,390
EC15A,22,390
EC15B,15,390
EC20A,26,390
EC20B,15,390
EC21Z,5,390
EC22Z,5,390
ED10Z,56,264
ED11Z,52,264
ED12A,78,264
ED12B,35,264
ED13A,35,264
ED13B,31,264
ED14A,74,264
ED14B,30,264
ED15A,66,264
ED15B,25,264
ED20A,78,264
ED20B,43,264
ED21A,83,264
ED21B,40,264
ED22A,74,264
ED22B,42,264
ED22C,33,264
ED23A,70,264
ED23B,40,264
ED23C,30,264
ED24A,85,264
ED24B,51,264
ED24C,44,264
ED25A,71,264
ED25B,38,264
ED25C,31,264
ED26A,59,264
ED26B,34,264
ED26C,23,264
ED27A,50,264
ED27B,34,264
ED27C,27,264
ED28A,38,264
ED28B,26,264
ED28C,17,264
ED30A,61,264
ED30B,31,264
ED30C,25,264
ED31A,56,264
ED31B,25,264
ED31C,21,264
EY01A,47,264
EY01B,24,264
EY02A,49,264
EY02B,26,264
EY03Z,41,264
EY04A,45,264
EY04B,15,264
EY05A,34,264
EY05B,19,264
EY06A,55,264
EY06B,33,264
EY06C,19,264
EY06D,15,264
EY06E,11,264
EY07A,36,264
EY07B,17,264
EY08A,70,264
EY08B,40,264
EY08C,27,264
EY08D,17,264
EY08E,11,264
EY11Z,5,264
EY12A,21,264
EY12B,11,264
EY13Z,5,264
EY16A,73,264
EY16B,35,264
EY17A,29,264
EY17B,11,264
EY20A,71,264
EY20B,35,264
EY21A,56,264
EY21B,26,264
EY22A,46,264
EY22B,29,264
EY22C,25,264
EY23A,43,264
EY23B,26,264
EY23C,12,264
EY30A,22,264
EY30B,16,264
EY31A,22,264
EY31B,9,264
EY32A,22,264
EY32B,14,264
EY40A,39,264
EY40B,18,264
EY40C,10,264
EY40D,9,264
EY41A,39,264
EY41B,16,264
EY41C,7,264
EY41D,6,264
EY42A,23,264
EY42B,12,264
EY42C,11,264
EY42D,10,264
EY43A,49,264
EY43B,30,264
EY43C,23,264
EY43D,15,264
EY43E,11,264
EY43F,9,264
EY50Z,5,264
EY51Z,5,264
FD01A,73,259
FD01B,30,259
FD01C,50,259
FD01D,24,259
FD01E,13,259
FD01F,33,259
FD01G,17,259
FD01H,11,259
FD01J,5,259
FD02A,72,259
FD02B,30,259
FD02C,42,259
FD02D,17,259
FD02E,22,259
FD02F,14,259
FD02G,11,259
FD02H,10,259
FD03A,48,259
FD03B,17,259
FD03C,39,259
FD03D,17,259
FD03E,11,259
FD03F,27,259
FD03G,14,259
FD03H,5,259
FD04A,77,259
FD04B,35,259
FD04C,43,259
FD04D,24,259
FD04E,10,259
FD05A,15,259
FD05B,5,259
FD10A,80,259
FD10B,46,259
FD10C,33,259
FD10D,23,259
FD10E,53,259
FD10F,29,259
FD10G,18,259
FD10H,12,259
FD10J,43,259
FD10K,20,259
FD10L,11,259
FD10M,5,259
FD11A,60,259
FD11B,41,259
FD11C,30,259
FD11D,39,259
FD11E,24,259
FD11F,16,259
FD11G,38,259
FD11H,26,259
FD11J,19,259
FD11K,10,259
FE01Z,46,259
FE02A,30,259
FE02B,5,259
FE02C,5,259
FE02D,5,424
FE02E,5,424
FE10A,59,259
FE10B,39,259
FE10C,26,259
FE10D,16,259
FE11A,63,259
FE11B,33,259
FE11C,19,259
FE11D,12,259
FE12A,5,259
FE12B,5,424
FE13Z,5,259
FE20Z,5,259
FE21Z,5,259
FE22Z,5,259
FE23A,5,424
FE23B,5,424
FE30Z,5,259
FE31Z,5,259
FE32Z,5,259
FE33Z,5,259
FE34Z,5,259
FE35Z,5,259
FE36Z,5,259
FE37A,5,424
FE37B,5,424
FE47Z,5,259
FE48A,5,259
FE48B,5,424
FE49Z,5,259
FE50A,5,259
FE50B,5,424
FF01A,124,259
FF01B,71,259
FF01C,63,259
FF02A,73,259
FF02B,42,259
FF02C,23,259
FF03A,115,424
FF03B,39,424
FF04A,62,259
FF04B,23,259
FF04C,14,259
FF04D,19,259
FF04E,34,424
FF04F,21,424
FF04G,43,424
FF04H,8,424
FF05Z,5,259
FF10Z,8,259
FF11Z,56,259
FF12Z,43,259
FF13Z,10,259
FF14Z,5,259
FF20A,130,259
FF20B,67,259
FF20C,41,259
FF20D,258,424
FF21A,83,259
FF21B,44,259
FF21C,30,259
FF21D,23,259
FF22A,83,259
FF22B,46,259
FF22C,30,259
FF22D,19,259
FF23A,51,424
FF23B,15,424
FF23C,137,424
FF23D,47,424
FF23E,24,424
FF30A,113,259
