type,procedure_code
usually_op,P274
usually_op,P278
usually_op,P279
usually_op,P293
usually_op,P295
usually_op,P298
usually_op,Q013
usually_op,Q014
usually_op,Q021
usually_op,Q023
usually_op,Q024
usually_op,Q033
usually_op,Q034
usually_op,Q035
usually_op,Q038
usually_op,Q039
usually_op,Q058
usually_op,Q108
usually_op,Q121
usually_op,Q122
usually_op,Q123
usually_op,Q124
usually_op,Q129
usually_op,Q146
usually_op,Q148
usually_op,Q152
usually_op,Q168
usually_op,Q169
usually_op,Q178
usually_op,Q179
usually_op,Q181
usually_op,Q189
usually_op,Q202
usually_op,Q411
usually_op,Q415
usually_op,Q552
usually_op,Q553
usually_op,Q554
usually_op,Q555
usually_op,Q556
usually_op,Q558
usually_op,Q559
usually_op,Q561
usually_op,R053
usually_op,R102
usually_op,R104
usually_op,R124
usually_op,R128
usually_op,R148
usually_op,R151
usually_op,R361
usually_op,R362
usually_op,R363
usually_op,R368
usually_op,R369
usually_op,R371
usually_op,R372
usually_op,R373
usually_op,R374
usually_op,R378
usually_op,R379
usually_op,R381
usually_op,R382
usually_op,R388
usually_op,R389
usually_op,R401
usually_op,R402
usually_op,R408
usually_op,R409
usually_op,R421
usually_op,R422
usually_op,R423
usually_op,R428
usually_op,R429
usually_op,R431
usually_op,R432
usually_op,R438
usually_op,R439
usually_op,S048
usually_op,S049
usually_op,S063
usually_op,S064
usually_op,S068
usually_op,S071
usually_op,S072
usually_op,S078
usually_op,S079
usually_op,S081
usually_op,S082
usually_op,S083
usually_op,S088
usually_op,S089
usually_op,S091
usually_op,S092
usually_op,S093
usually_op,S099
usually_op,S101
usually_op,S102
usually_op,S111
usually_op,S112
usually_op,S118
usually_op,S119
usually_op,S121
usually_op,S122
usually_op,S123
usually_op,S124
usually_op,S128
usually_op,S129
usually_op,S131
usually_op,S132
usually_op,S138
usually_op,S139
usually_op,S141
usually_op,S142
usually_op,S143
usually_op,S144
usually_op,S151
usually_op,S152
usually_op,S159
usually_op,S274
usually_op,S312
usually_op,S401
usually_op,S403
usually_op,S404
usually_op,S411
usually_op,S418
usually_op,S429
usually_op,S431
usually_op,S432
usually_op,S433
usually_op,S434
usually_op,S438
usually_op,S439
usually_op,S471
usually_op,S473
usually_op,S474
usually_op,S475
usually_op,S478
usually_op,S479
usually_op,S482
usually_op,S491
usually_op,S498
usually_op,S501
usually_op,S504
usually_op,S508
usually_op,S518
usually_op,S521
usually_op,S523
usually_op,S525
usually_op,S528
usually_op,S529
usually_op,S531
usually_op,S532
usually_op,S533
usually_op,S535
usually_op,S536
usually_op,S538
usually_op,S539
usually_op,S543
usually_op,S544
usually_op,S545
usually_op,S551
usually_op,S552
usually_op,S553
usually_op,S554
usually_op,S555
usually_op,S556
usually_op,S561
usually_op,S562
usually_op,S563
usually_op,S564
usually_op,S565
usually_op,S566
usually_op,S567
usually_op,S568
usually_op,S569
usually_op,S571
usually_op,S572
usually_op,S573
usually_op,S574
usually_op,S575
usually_op,S576
usually_op,S577
usually_op,S578
usually_op,S579
usually_op,S601
usually_op,S603
usually_op,S605
usually_op,S606
usually_op,S608
usually_op,S623
usually_op,S624
usually_op,S625
usually_op,S702
usually_op,S708
usually_op,T112
usually_op,T432
usually_op,T458
usually_op,T624
usually_op,T744
usually_op,T745
usually_op,T748
usually_op,T833
usually_op,T838
usually_op,T861
usually_op,T879
usually_op,T881
usually_op,T889
usually_op,T898
usually_op,T912
usually_op,T963
usually_op,T964
usually_op,T968
usually_dc,A094
usually_dc,A098
usually_dc,A107
usually_dc,A148
usually_dc,A263
usually_dc,A365
usually_dc,A368
usually_dc,A483
usually_dc,A486
usually_dc,A487
usually_dc,A521
usually_dc,A522
usually_dc,A528
usually_dc,A529
usually_dc,A542
usually_dc,A544
usually_dc,A548
usually_dc,A549
usually_dc,A552
usually_dc,A553
usually_dc,A558
usually_dc,A559
usually_dc,A571
usually_dc,A573
usually_dc,A574
usually_dc,A575
usually_dc,A577
usually_dc,A578
usually_dc,A599
usually_dc,A604
usually_dc,A605
usually_dc,A606
usually_dc,A611
usually_dc,A624
usually_dc,A642
usually_dc,A651
usually_dc,A661
usually_dc,A671
usually_dc,A678
usually_dc,A681
usually_dc,A684
usually_dc,A691
usually_dc,A692
usually_dc,A707
usually_dc,A731
usually_dc,A733
usually_dc,A734
usually_dc,A735
usually_dc,A738
usually_dc,A788
usually_dc,A811
usually_dc,A812
usually_dc,A821
usually_dc,A839
usually_dc,A848
usually_dc,B252
usually_dc,B282
usually_dc,B283
usually_dc,B284
usually_dc,B285
usually_dc,B286
usually_dc,B287
usually_dc,B288
usually_dc,B303
usually_dc,B341
usually_dc,B342
usually_dc,B343
usually_dc,B344
usually_dc,B352
usually_dc,B353
usually_dc,B361
usually_dc,B375
usually_dc,B412
usually_dc,C021
usually_dc,C061
usually_dc,C088
usually_dc,C091
usually_dc,C101
usually_dc,C106
usually_dc,C111
usually_dc,C112
usually_dc,C115
usually_dc,C117
usually_dc,C118
usually_dc,C121
usually_dc,C122
usually_dc,C123
usually_dc,C124
usually_dc,C125
usually_dc,C126
usually_dc,C131
usually_dc,C132
usually_dc,C133
usually_dc,C134
usually_dc,C141
usually_dc,C142
usually_dc,C148
usually_dc,C149
usually_dc,C151
usually_dc,C152
usually_dc,C153
usually_dc,C154
usually_dc,C155
usually_dc,C158
usually_dc,C162
usually_dc,C164
usually_dc,C181
usually_dc,C182
usually_dc,C183
usually_dc,C186
usually_dc,C188
usually_dc,C189
usually_dc,C222
usually_dc,C231
usually_dc,C244
usually_dc,C253
usually_dc,C254
usually_dc,C271
usually_dc,C275
usually_dc,C292
usually_dc,C298
usually_dc,C311
usually_dc,C312
usually_dc,C314
usually_dc,C316
usually_dc,C318
usually_dc,C321
